transaction_id,customer_id,product,price,quantity,transaction_date,total_price
T0001,C6428,Headphones,1212.46,4,2025-05-28,4849.84
T0002,C5981,Printer,1131.98,5,2025-06-06,5659.9
T0003,C3602,Phone,541.59,4,2025-05-28,2166.36
T0004,C7884,Headphones,538.0,2,2025-05-28,1076.0
T0005,C4351,Headphones,1173.99,3,2025-06-04,3521.9700000000003
T0006,C5317,Printer,791.81,2,2025-06-04,1583.62
T0007,C7256,Keyboard,56.18,2,2025-05-28,112.36
T0008,C1308,Printer,425.02,1,2025-06-07,425.02
T0009,C5160,Mouse,1270.48,5,2025-06-02,6352.4
T0010,C4492,Laptop,1057.95,5,2025-06-03,5289.75
T0011,C5550,Mouse,1355.66,4,2025-05-27,5422.64
T0012,C3475,Keyboard,1261.81,2,2025-06-03,2523.62
T0013,C2025,Mouse,1414.27,4,2025-06-05,5657.08
T0014,C2714,Printer,1046.96,1,2025-05-29,1046.96
T0015,C6734,Phone,1277.07,2,2025-06-01,2554.14
T0016,C8121,Keyboard,1284.47,1,2025-06-04,1284.47
T0017,C5942,Phone,1418.6,4,2025-06-07,5674.4
T0018,C4709,Headphones,843.13,4,2025-06-01,3372.52
T0019,C8426,Monitor,725.26,5,2025-06-06,3626.3
T0020,C1760,Phone,152.61,2,2025-06-02,305.22
T0021,C1411,Keyboard,1215.24,2,2025-05-30,2430.48
T0022,C3073,Phone,790.19,5,2025-06-07,3950.9500000000003
T0023,C3737,Monitor,928.28,2,2025-05-31,1856.56
T0024,C8569,Monitor,391.83,4,2025-06-07,1567.32
T0025,C2342,Monitor,1025.71,2,2025-06-01,2051.42
T0026,C2564,Mouse,1026.23,1,2025-05-28,1026.23
T0027,C8385,Mouse,1190.03,2,2025-06-03,2380.06
T0028,C7590,Printer,1273.73,1,2025-05-31,1273.73
T0029,C4233,Monitor,356.67,1,2025-06-02,356.67
T0030,C3499,Laptop,848.12,2,2025-06-03,1696.24
T0031,C9430,Keyboard,253.44,1,2025-06-05,253.44
T0032,C6408,Laptop,806.79,1,2025-06-05,806.79
T0033,C4177,Keyboard,521.85,4,2025-06-02,2087.4
T0034,C7461,Headphones,1132.65,1,2025-05-30,1132.65
T0035,C1131,Mouse,665.7,3,2025-05-28,1997.1000000000001
T0036,C5923,Keyboard,237.12,2,2025-05-29,474.24
T0037,C3748,Mouse,725.12,1,2025-06-06,725.12
T0038,C8808,Keyboard,775.24,4,2025-05-27,3100.96
T0039,C5716,Laptop,836.24,5,2025-06-07,4181.2
T0040,C6811,Headphones,325.99,4,2025-06-02,1303.96
T0041,C6361,Mouse,446.3,2,2025-06-03,892.6
T0042,C6377,Laptop,94.34,1,2025-06-07,94.34
T0043,C6523,Laptop,508.79,3,2025-05-31,1526.3700000000001
T0044,C9683,Phone,961.23,5,2025-05-29,4806.15
T0045,C3819,Phone,696.75,1,2025-05-28,696.75
T0046,C7551,Printer,531.85,5,2025-06-01,2659.25
T0047,C7578,Mouse,245.62,5,2025-06-03,1228.1
T0048,C2993,Phone,179.58,1,2025-06-04,179.58
T0049,C3263,Keyboard,62.38,5,2025-06-01,311.90000000000003
T0050,C5817,Phone,846.63,2,2025-05-29,1693.26
T0051,C2037,Monitor,367.78,5,2025-05-31,1838.8999999999999
T0052,C4635,Headphones,369.15,1,2025-06-05,369.15
T0053,C2628,Phone,1409.46,4,2025-05-28,5637.84
T0054,C4173,Headphones,304.33,4,2025-05-31,1217.32
T0055,C9204,Printer,705.97,5,2025-05-31,3529.8500000000004
T0056,C5977,Keyboard,259.83,3,2025-06-03,779.49
T0057,C9767,Keyboard,1047.92,4,2025-05-29,4191.68
T0058,C7534,Laptop,119.48,5,2025-06-02,597.4
T0059,C3509,Keyboard,154.98,1,2025-05-30,154.98
T0060,C9690,Laptop,1335.75,4,2025-06-02,5343.0
T0061,C6498,Laptop,1069.65,5,2025-05-28,5348.25
T0062,C3205,Monitor,569.22,5,2025-06-04,2846.1000000000004
T0063,C2355,Laptop,1462.36,1,2025-06-02,1462.36
T0064,C6874,Mouse,544.69,5,2025-06-04,2723.4500000000003
T0065,C6638,Monitor,488.67,3,2025-05-28,1466.01
T0066,C9385,Printer,167.9,2,2025-05-28,335.8
T0067,C8824,Monitor,955.69,1,2025-06-04,955.69
T0068,C2864,Headphones,453.08,3,2025-06-02,1359.24
T0069,C9234,Laptop,1149.33,5,2025-06-01,5746.65
T0070,C8209,Laptop,555.45,4,2025-06-05,2221.8
T0071,C4092,Keyboard,69.64,5,2025-06-02,348.2
T0072,C5908,Headphones,1052.01,2,2025-06-01,2104.02
T0073,C7087,Keyboard,836.87,3,2025-06-01,2510.61
T0074,C7282,Headphones,1470.8,2,2025-06-03,2941.6
T0075,C4046,Headphones,206.69,1,2025-05-29,206.69
T0076,C2655,Phone,244.66,3,2025-05-29,733.98
T0077,C6188,Laptop,279.74,4,2025-06-02,1118.96
T0078,C7967,Monitor,904.69,1,2025-06-06,904.69
T0079,C9130,Monitor,277.22,3,2025-06-05,831.6600000000001
T0080,C1053,Laptop,109.18,5,2025-05-28,545.9000000000001
T0081,C1516,Printer,1152.25,5,2025-06-07,5761.25
T0082,C6143,Printer,1228.96,3,2025-06-06,3686.88
T0083,C3436,Laptop,1017.43,5,2025-06-01,5087.15
T0084,C1632,Laptop,650.45,1,2025-05-28,650.45
T0085,C3568,Headphones,1345.55,1,2025-05-27,1345.55
T0086,C5787,Headphones,969.53,1,2025-05-28,969.53
T0087,C9165,Headphones,964.99,4,2025-05-30,3859.96
T0088,C8792,Printer,1400.41,1,2025-05-28,1400.41
T0089,C3872,Headphones,1148.44,2,2025-06-01,2296.88
T0090,C6632,Mouse,1253.88,4,2025-05-28,5015.52
T0091,C7917,Keyboard,1224.54,5,2025-06-01,6122.7
T0092,C9576,Keyboard,548.32,5,2025-06-01,2741.6000000000004
T0093,C2023,Monitor,1386.12,3,2025-05-28,4158.36
T0094,C7246,Mouse,205.79,3,2025-06-04,617.37
T0095,C7370,Monitor,381.88,3,2025-06-02,1145.6399999999999
T0096,C8713,Printer,1171.29,5,2025-06-06,5856.45
T0097,C6498,Laptop,973.85,2,2025-05-31,1947.7
T0098,C9989,Laptop,242.59,4,2025-06-01,970.36
T0099,C7574,Keyboard,1423.21,2,2025-06-03,2846.42
T0100,C5118,Keyboard,1121.76,1,2025-05-30,1121.76
